Date,Plot,ID,Lc,H,P,Ll
9/12/2017,C2,440,6,12.4,6.5,14.2
9/12/2017,C2,311,1,6.2,6,6.2
9/12/2017,C2,311,3,4.7,4,6.2
9/12/2017,C2,438,4,11,8.7,14
9/12/2017,C2,437,4,14.3,12.3,12.6
9/12/2017,R2,460,4,8.2,7.6,12.4
9/12/2017,R2,180,2,5.9,5.2,10.3
9/12/2017,R2,461,5,14,11.5,11.2
9/12/2017,R2,462,6,11,9.2,11.2
9/12/2017,R2,289,2,6.3,6,4.2
9/12/2017,R2,289,0,6,6,0
9/12/2017,R2,289,0,2,2,0
9/12/2017,R2,288,2,5.2,5,4.3
9/12/2017,R2,458,4,13,11.2,15.2
9/12/2017,R2,286,0,6,6,0
9/12/2017,R2,305,0,5.2,5.2,0
9/12/2017,R2,282,0,8,6,0
9/12/2017,R2,286,1,3.7,2.5,4.2
9/12/2017,R2,284,0,3.5,3.5,0
9/12/2017,R2,76,3,9,8.2,10
9/12/2017,R2,281,0,6,2.5,0
9/12/2017,R2,456,5,20.6,11.7,14.6
9/12/2017,R2,284,2,4.7,4.6,1.6
9/12/2017,R2,285,4,7.2,4.1,13.1
9/12/2017,R2,455,0,8.3,8.3,0
9/12/2017,R2,85,4,10.6,10,9.2
9/12/2017,R2,280,0,4.6,4.6,0
9/12/2017,R2,280,0,5,5,0
9/12/2017,R2,453,4,12.1,9.6,14.7
9/12/2017,R2,451,4,11.3,10,11.3
9/12/2017,R2,64,4,5.6,5.2,7.6
9/12/2017,R2,448,4,11.6,11.2,11.3
9/12/2017,R2,278,0,6.5,6.5,0
9/12/2017,R2,449,4,8.2,6.6,13
9/12/2017,R2,448,4,11.6,10,14.2
9/12/2017,R2,276,1,6.3,6,4.2
9/12/2017,R2,276,0,6.2,6.2,0
9/12/2017,R2,62,8,15,6.2,7.8
9/12/2017,R2,445,1,4.2,4,5
9/12/2017,R2,449,5,13.1,10.2,14.3
9/12/2017,R2,447,4,11.2,9.3,13.7
9/12/2017,R2,276,0,6,6,0
9/12/2017,R2,277,0,6.4,6.4,0
9/12/2017,R2,61,8,9.2,8.5,8.4
9/12/2017,I2,463,4,7.7,4.6,9.2
9/12/2017,I2,463,5,7.3,6.8,7.2
9/12/2017,I2,453,6,14.6,7,15.7
9/12/2017,I2,314,0,7.6,7.6,0
9/12/2017,I2,465,5,14.2,12.2,15.3
9/12/2017,I2,315,0,7.6,7.6,0
9/12/2017,I2,467,6,21.5,7.2,11.2
9/12/2017,I2,315,0,4.2,4.2,0
9/12/2017,I2,314,1,6.7,6.1,0.4
9/12/2017,I2,314,0,8,8,0
9/12/2017,I2,314,0,4,4,0
9/12/2017,I2,314,0,7.6,7.6,0
9/12/2017,I2,314,0,7.6,7.6,0
9/12/2017,I2,315,0,5.7,5.7,0
9/12/2017,I2,317,0,7,7,0
9/12/2017,I2,317,0,5.2,5.2,0
9/12/2017,I2,315,0,7,7,0
9/12/2017,I2,317,0,5.3,5.2,0
9/12/2017,I2,315,3,11.3,10.6,10.4
9/12/2017,I2,313,1,4.7,4.5,5.2
9/12/2017,I2,466,5,10,5.2,15.2
9/12/2017,I2,471,,9.4,8,13.2
9/12/2017,I2,167,2,9.7,8,10.1
9/12/2017,I2,473,4,11.7,9.3,12.2
9/12/2017,I2,474,0,5,5,0
9/12/2017,I2,475,4,12,10.3,15.3
9/12/2017,I2,318,0,4,4,0
9/12/2017,I2,476,4,8.2,7.6,12.3
9/12/2017,I2,319,0,6.8,6.8,0
9/12/2017,I2,470,6,13.6,10.4,10.9
9/12/2017,I2,481,4,10.6,8.7,12.7
9/12/2017,I2,317,0,6,6,0
9/12/2017,I2,320,0,5.4,5.4,0
9/12/2017,I2,480,4,16,10.4,12.3
9/12/2017,I2,318,0,9.1,9.1,0
9/12/2017,I2,477,5,14.4,9,14.6
9/12/2017,I2,475,4,11.3,10.2,15.2
9/12/2017,I2,476,3,8.2,8,8.2
9/12/2017,I2,319,0,7.2,7.2,0
9/12/2017,I2,166,0,7.2,7.2,0
9/12/2017,I2,320,0,8.2,8.2,0
9/12/2017,I2,320,1,7.2,7,4.6
9/12/2017,I2,319,1,3,2.3,1.5
9/12/2017,I2,480,4,15.2,11.2,13.3
9/12/2017,I2,483,4,13.4,12.7,14.2
9/12/2017,I2,484,5,9.6,7,10.2
