"","Spp","Count","Plot","Direction","Fire.affected","Type","true.plot"
"456","Crataegus spp.",1,"2-1-R","Center","NA","R","2-1-R-Center"
"457","Prunus serotina",1,"2-1-R","Center","NA","R","2-1-R-Center"
"458","Berberis thunbergii",44,"2-1-R","Center","NA","R","2-1-R-Center"
"459","Nyssa sylvatica",1,"2-1-R","Center","NA","R","2-1-R-Center"
"460","Toxicodendron radicans",2,"2-1-R","Center","NA","R","2-1-R-Center"
"461","Vitis spp.",5,"2-1-R","Center","NA","R","2-1-R-Center"
"462","Viburnum acerifolium",5,"2-1-R","Center","NA","R","2-1-R-Center"
"463","Parthenocissus quinquefolia",11,"2-1-R","Center","NA","R","2-1-R-Center"
"464","Lindera benzoin",2,"2-1-R","Center","NA","R","2-1-R-Center"
"465","Polygonum spp.",2,"2-1-R","Center","NA","R","2-1-R-Center"
"466","Rosa multiflora",3,"2-1-R","Center","NA","R","2-1-R-Center"
"467","Dryopteris intermedia",18,"2-1-R","Center","NA","R","2-1-R-Center"
"468","Dryopteris triploidea",21,"2-1-R","Center","NA","R","2-1-R-Center"
"469","Berberis thunbergii",11,"2-1-R","N","NA","R","2-1-R-N"
"470","Lindera benzoin",8,"2-1-R","N","NA","R","2-1-R-N"
"471","Parthenocissus quinquefolia",7,"2-1-R","N","NA","R","2-1-R-N"
"472","Polygonum spp.",3,"2-1-R","N","NA","R","2-1-R-N"
"473","Rubus spp.",5,"2-1-R","N","NA","R","2-1-R-N"
"474","Persicaria spp.",13,"2-1-R","N","NA","R","2-1-R-N"
"475","Impatiens spp.",1,"2-1-R","N","NA","R","2-1-R-N"
"476","Microstegium vimineum",17,"2-1-R","N","NA","R","2-1-R-N"
"477","Celastrus orbiculatus",1,"2-1-R","N","NA","R","2-1-R-N"
"478","Vitis spp.",4,"2-1-R","N","NA","R","2-1-R-N"
"479","Viburnum acerifolium",1,"2-1-R","N","NA","R","2-1-R-N"
"480","Rosa multiflora",11,"2-1-R","N","NA","R","2-1-R-N"
"481","Ligustrum vulgare",4,"2-1-R","N","NA","R","2-1-R-N"
"482","Dryopteris triploidea",75,"2-1-R","N","NA","R","2-1-R-N"
"483","Dryopteris intermedia",12,"2-1-R","N","NA","R","2-1-R-N"
"484","Berberis thunbergii",1,"2-6-C","Center","NA","C","2-6-C-Center"
"485","Dryopteris triploidea",8,"2-6-C","Center","NA","C","2-6-C-Center"
"486","Polystichum acrostichoides",7,"2-6-C","Center","NA","C","2-6-C-Center"
"487","Alliaria petiolata",1,"2-6-C","Center","NA","C","2-6-C-Center"
"488","Microstegium vimineum",2400,"2-6-C","Center","NA","C","2-6-C-Center"
"489","Berberis thunbergii",6,"2-6-C","N","NA","C","2-6-C-N"
"490","Boehmeria spp.",11,"2-6-C","N","NA","C","2-6-C-N"
"491","Dicot",1,"2-6-C","N","NA","C","2-6-C-N"
"492","Microstegium vimineum",2400,"2-6-C","N","NA","C","2-6-C-N"
"493","Parthenocissus quinquefolia",2,"2-6-I","Center","NA","I","2-6-I-Center"
"494","Celastrus orbiculatus",1,"2-6-I","Center","NA","I","2-6-I-Center"
"495","Dicot",3,"2-6-I","Center","NA","I","2-6-I-Center"
"496","Microstegium vimineum",62,"2-6-I","Center","NA","I","2-6-I-Center"
"497","Dicot",1,"2-6-I","Center","NA","I","2-6-I-Center"
"498","Impatiens spp.",1,"2-6-I","Center","NA","I","2-6-I-Center"
"499","Microstegium vimineum",600,"2-6-I","NW","NA","I","2-6-I-NW"
"500","Boehmeria spp.",16,"2-6-I","NW","NA","I","2-6-I-NW"
"501","Lindera benzoin",3,"2-6-I","NW","NA","I","2-6-I-NW"
"502","Microstegium vimineum",450,"2-6-R","N","NA","R","2-6-R-N"
"503","Berberis thunbergii",23,"2-6-R","N","NA","R","2-6-R-N"
"504","Oxalis spp.",2,"2-6-R","N","NA","R","2-6-R-N"
"505","Boehmeria spp.",3,"2-6-R","N","NA","R","2-6-R-N"
"506","Dryopteris intermedia",2,"2-6-R","N","NA","R","2-6-R-N"
"507","Lindera benzoin",3,"2-6-R","N","NA","R","2-6-R-N"
"508","Vitis spp.",4,"2-6-R","N","NA","R","2-6-R-N"
"509","Alliaria petiolata",3,"2-6-R","N","NA","R","2-6-R-N"
"510","Parthenocissus quinquefolia",2,"2-6-R","N","NA","R","2-6-R-N"
"511","Monocot",4,"2-6-R","N","NA","R","2-6-R-N"
"512","Lindera benzoin",1,"2-6-R","N","NA","R","2-6-R-N"
"513","Microstegium vimineum",450,"2-6-R","Center","NA","R","2-6-R-Center"
"514","Vitis spp.",3,"2-6-R","Center","NA","R","2-6-R-Center"
"515","Boehmeria spp.",4,"2-6-R","Center","NA","R","2-6-R-Center"
"516","Oxalis spp.",9,"2-6-R","Center","NA","R","2-6-R-Center"
"517","Cirsium spp.",1,"2-6-R","Center","NA","R","2-6-R-Center"
"518","Asteraceae",1,"2-6-R","Center","NA","R","2-6-R-Center"
"519","Parthenocissus quinquefolia",1,"2-6-R","Center","NA","R","2-6-R-Center"
"520","Viola spp.",1,"2-6-R","Center","NA","R","2-6-R-Center"
"521","Monocot",1,"2-6-R","Center","NA","R","2-6-R-Center"
"522","Dicot",3,"2-6-R","Center","NA","R","2-6-R-Center"
"523","Rosa multiflora",6,"2-6-R","Center","NA","R","2-6-R-Center"
"524","Berberis thunbergii",9,"2-6-R","Center","NA","R","2-6-R-Center"
"525","Liriodendron tulipifera",16,"2-5-C","Center","NA","C","2-5-C-Center"
"526","Vitis spp.",5,"2-5-C","Center","NA","C","2-5-C-Center"
"527","Boehmeria spp.",11,"2-5-C","Center","NA","C","2-5-C-Center"
"528","Microstegium vimineum",46,"2-5-C","Center","NA","C","2-5-C-Center"
"529","Monocot",10,"2-5-C","Center","NA","C","2-5-C-Center"
"530","Rubus spp.",1,"2-5-C","Center","NA","C","2-5-C-Center"
"531","Nyssa sylvatica",1,"2-5-C","Center","NA","C","2-5-C-Center"
"532","Rosa multiflora",1,"2-5-C","Center","NA","C","2-5-C-Center"
"533","Monocot",3,"2-5-C","Center","NA","C","2-5-C-Center"
"534","Parthenocissus quinquefolia",1,"2-5-C","Center","NA","C","2-5-C-Center"
"535","Viola spp.",1,"2-5-C","Center","NA","C","2-5-C-Center"
"536","Dicot",2,"2-5-C","Center","NA","C","2-5-C-Center"
"537","Microstegium vimineum",102,"2-5-C","S","NA","C","2-5-C-S"
"538","Acer rubrum",1,"2-5-C","S","NA","C","2-5-C-S"
"539","Boehmeria spp.",6,"2-5-C","S","NA","C","2-5-C-S"
"540","Liriodendron tulipifera",4,"2-5-C","S","NA","C","2-5-C-S"
"541","Rubus spp.",1,"2-5-C","S","NA","C","2-5-C-S"
"542","Lindera benzoin",3,"2-5-C","S","NA","C","2-5-C-S"
"543","Asteraceae",1,"2-5-C","S","NA","C","2-5-C-S"
"544","Berberis thunbergii",3,"2-5-C","S","NA","C","2-5-C-S"
"545","Vitis spp.",1,"2-5-C","S","NA","C","2-5-C-S"
"546","Dicot",1,"2-5-C","S","NA","C","2-5-C-S"
"547","Galium spp.",9,"2-5-I","Center","NA","I","2-5-I-Center"
"548","Parthenocissus quinquefolia",2,"2-5-I","Center","NA","I","2-5-I-Center"
"549","Lindera benzoin",6,"2-5-I","Center","NA","I","2-5-I-Center"
"550","Asteraceae",1,"2-5-I","Center","NA","I","2-5-I-Center"
"551","Microstegium vimineum",27,"2-5-I","Center","NA","I","2-5-I-Center"
"552","Dryopteris spp.",3,"2-5-I","Center","NA","I","2-5-I-Center"
"553","Rosa multiflora",1,"2-5-I","Center","NA","I","2-5-I-Center"
"554","Monocot",3,"2-5-I","NW","NA","I","2-5-I-NW"
"555","Rosa multiflora",1,"2-5-I","NW","NA","I","2-5-I-NW"
"556","Persicaria spp.",1,"2-5-I","NW","NA","I","2-5-I-NW"
"557","Prunus serotina",1,"2-5-I","NW","NA","I","2-5-I-NW"
"558","Lindera benzoin",11,"2-5-I","NW","NA","I","2-5-I-NW"
"559","Celastrus orbiculatus",1,"2-5-I","NW","NA","I","2-5-I-NW"
"560","Crataegus spp.",2,"2-5-I","NW","NA","I","2-5-I-NW"
"561","Microstegium vimineum",3,"2-5-I","NW","NA","I","2-5-I-NW"
"562","Berberis thunbergii",16,"2-5-R","Center","NA","R","2-5-R-Center"
"563","Liriodendron tulipifera",7,"2-5-R","Center","NA","R","2-5-R-Center"
"564","Lindera benzoin",9,"2-5-R","Center","NA","R","2-5-R-Center"
"565","Sassafras albidum",2,"2-5-R","Center","NA","R","2-5-R-Center"
"566","Viola spp.",8,"2-5-R","Center","NA","R","2-5-R-Center"
"567","Toxicodendron radicans",4,"2-5-R","Center","NA","R","2-5-R-Center"
"568","Parthenocissus quinquefolia",1,"2-5-R","Center","NA","R","2-5-R-Center"
"569","Dryopteris triploidea",3,"2-5-R","Center","NA","R","2-5-R-Center"
"570","Asteraceae",12,"2-5-R","Center","NA","R","2-5-R-Center"
"571","Berberis thunbergii",27,"2-5-R","S","NA","R","2-5-R-S"
"572","Sassafras albidum",3,"2-5-R","S","NA","R","2-5-R-S"
"573","Asteraceae",5,"2-5-R","S","NA","R","2-5-R-S"
"574","Liriodendron tulipifera",4,"2-5-R","S","NA","R","2-5-R-S"
"575","Microstegium vimineum",33,"2-5-R","S","NA","R","2-5-R-S"
"576","Lindera benzoin",2,"2-5-R","S","NA","R","2-5-R-S"
"577","Viola spp.",6,"2-5-R","S","NA","R","2-5-R-S"
"578","Rubus spp.",4,"2-5-R","S","NA","R","2-5-R-S"
"579","Rosa multiflora",2,"2-5-R","S","NA","R","2-5-R-S"
"580","Boehmeria spp.",1,"2-5-R","S","NA","R","2-5-R-S"
"581","Parthenocissus quinquefolia",1,"2-5-R","S","NA","R","2-5-R-S"
"582","Rosa multiflora",28,"2-4-C","Center","NA","C","2-4-C-Center"
"583","Parthenocissus quinquefolia",8,"2-4-C","Center","NA","C","2-4-C-Center"
"584","Rubus spp.",9,"2-4-C","Center","NA","C","2-4-C-Center"
"585","Toxicodendron radicans",28,"2-4-C","Center","NA","C","2-4-C-Center"
"586","Quercus spp.",2,"2-4-C","Center","NA","C","2-4-C-Center"
"587","Carya spp.",5,"2-4-C","Center","NA","C","2-4-C-Center"
"588","Maianthemum spp.",1,"2-4-C","Center","NA","C","2-4-C-Center"
"589","Ilex spp.",3,"2-4-C","Center","NA","C","2-4-C-Center"
"590","Crataegus spp.",6,"2-4-C","Center","NA","C","2-4-C-Center"
"591","Ligustrum vulgare",3,"2-4-C","Center","NA","C","2-4-C-Center"
"592","Acer rubrum",18,"2-4-C","Center","NA","C","2-4-C-Center"
"593","Vitis spp.",1,"2-4-C","Center","NA","C","2-4-C-Center"
"594","Alnus spp.",5,"2-4-C","Center","NA","C","2-4-C-Center"
"595","Lindera benzoin",2,"2-4-C","Center","NA","C","2-4-C-Center"
"596","Nyssa sylvatica",5,"2-4-C","Center","NA","C","2-4-C-Center"
"597","Monocot",18,"2-4-C","Center","NA","C","2-4-C-Center"
"598","Monocot",6,"2-4-C","Center","NA","C","2-4-C-Center"
"599","Dicot",3,"2-4-C","Center","NA","C","2-4-C-Center"
"600","Dicot",1,"2-4-C","Center","NA","C","2-4-C-Center"
"601","Ligustrum vulgare",7,"2-4-C","N","NA","C","2-4-C-N"
"602","Lindera benzoin",6,"2-4-C","N","NA","C","2-4-C-N"
"603","Rosa multiflora",13,"2-4-C","N","NA","C","2-4-C-N"
"604","Berberis thunbergii",1,"2-4-C","N","NA","C","2-4-C-N"
"605","Parthenocissus quinquefolia",15,"2-4-C","N","NA","C","2-4-C-N"
"606","Toxicodendron radicans",20,"2-4-C","N","NA","C","2-4-C-N"
"607","Prunus serotina",26,"2-4-C","N","NA","C","2-4-C-N"
"608","Crataegus spp.",8,"2-4-C","N","NA","C","2-4-C-N"
"609","Carya spp.",2,"2-4-C","N","NA","C","2-4-C-N"
"610","Lonicera spp.",5,"2-4-C","N","NA","C","2-4-C-N"
"611","Dicot",5,"2-4-C","N","NA","C","2-4-C-N"
"612","Vitis spp.",6,"2-4-C","N","NA","C","2-4-C-N"
"613","Nyssa sylvatica",5,"2-4-C","N","NA","C","2-4-C-N"
"614","Acer rubrum",3,"2-4-C","N","NA","C","2-4-C-N"
"615","Rubus spp.",1,"2-4-C","N","NA","C","2-4-C-N"
"616","Ilex spp.",3,"2-4-C","N","NA","C","2-4-C-N"
"617","Quercus spp.",2,"2-4-C","N","NA","C","2-4-C-N"
"618","Fraxinus spp.",1,"2-4-C","N","NA","C","2-4-C-N"
"619","Ligustrum vulgare",9,"2-4-I","Center","NA","I","2-4-I-Center"
"620","Rubus spp.",5,"2-4-I","Center","NA","I","2-4-I-Center"
"621","Celastrus orbiculatus",4,"2-4-I","Center","NA","I","2-4-I-Center"
"622","Lindera benzoin",1,"2-4-I","Center","NA","I","2-4-I-Center"
"623","Monocot",1,"2-4-I","Center","NA","I","2-4-I-Center"
"624","Parthenocissus quinquefolia",5,"2-4-I","Center","NA","I","2-4-I-Center"
"625","Monocot",1,"2-4-I","Center","NA","I","2-4-I-Center"
"626","Polygonum spp.",1,"2-4-I","Center","NA","I","2-4-I-Center"
"627","Lindera benzoin",4,"2-4-I","Center","NA","I","2-4-I-Center"
"628","Lonicera spp.",4,"2-4-I","Center","NA","I","2-4-I-Center"
"629","Ranunculus spp.",1,"2-4-I","Center","NA","I","2-4-I-Center"
"630","Dryopteris triploidea",18,"2-4-I","Center","NA","I","2-4-I-Center"
"631","Prunus serotina",2,"2-4-I","Center","NA","I","2-4-I-Center"
"632","Oxalis spp.",1,"2-4-I","Center","NA","I","2-4-I-Center"
"633","Acer rubrum",1,"2-4-I","Center","NA","I","2-4-I-Center"
"634","Viola spp.",2,"2-4-I","Center","NA","I","2-4-I-Center"
"635","Boehmeria spp.",1,"2-4-I","S","NA","I","2-4-I-S"
"636","Polygonum spp.",1,"2-4-I","S","NA","I","2-4-I-S"
"637","Ligustrum vulgare",12,"2-4-I","S","NA","I","2-4-I-S"
"638","Dryopteris triploidea",5,"2-4-I","S","NA","I","2-4-I-S"
"639","Celastrus orbiculatus",4,"2-4-I","S","NA","I","2-4-I-S"
"640","Toxicodendron radicans",5,"2-4-I","S","NA","I","2-4-I-S"
"641","Viola spp.",2,"2-4-I","S","NA","I","2-4-I-S"
"642","Rubus spp.",1,"2-4-I","S","NA","I","2-4-I-S"
"643","Parthenocissus quinquefolia",3,"2-4-I","S","NA","I","2-4-I-S"
"644","Impatiens spp.",4,"2-4-I","S","NA","I","2-4-I-S"
"645","Ligustrum vulgare",27,"2-4-R","Center","NA","R","2-4-R-Center"
"646","Rosa multiflora",8,"2-4-R","Center","NA","R","2-4-R-Center"
"647","Alliaria petiolata",11,"2-4-R","Center","NA","R","2-4-R-Center"
"648","Boehmeria spp.",4,"2-4-R","Center","NA","R","2-4-R-Center"
"649","Polygonum spp.",8,"2-4-R","Center","NA","R","2-4-R-Center"
"650","Celastrus orbiculatus",13,"2-4-R","Center","NA","R","2-4-R-Center"
"651","Monocot",1,"2-4-R","Center","NA","R","2-4-R-Center"
"652","Viburnum acerifolium",4,"2-4-R","Center","NA","R","2-4-R-Center"
"653","Oxalis spp.",3,"2-4-R","Center","NA","R","2-4-R-Center"
"654","Galium spp.",4,"2-4-R","Center","NA","R","2-4-R-Center"
"655","Symplocarpus foetidus",3,"2-4-R","Center","NA","R","2-4-R-Center"
"656","Cardamine hirsuta",1,"2-4-R","Center","NA","R","2-4-R-Center"
"657","Dryopteris spp.",2,"2-4-R","Center","NA","R","2-4-R-Center"
"658","Monocot",4,"2-4-R","Center","NA","R","2-4-R-Center"
"659","Carya spp.",1,"2-4-R","Center","NA","R","2-4-R-Center"
"660","Oxalis spp.",27,"2-4-R","E","NA","R","2-4-R-E"
"661","Parthenocissus quinquefolia",3,"2-4-R","E","NA","R","2-4-R-E"
"662","Boehmeria spp.",7,"2-4-R","E","NA","R","2-4-R-E"
"663","Ligustrum vulgare",7,"2-4-R","E","NA","R","2-4-R-E"
"664","Cardamine hirsuta",3,"2-4-R","E","NA","R","2-4-R-E"
"665","Mitchella repens",5,"2-4-R","E","NA","R","2-4-R-E"
"666","Monocot",1,"2-4-R","E","NA","R","2-4-R-E"
"667","Asteraceae",1,"2-4-R","E","NA","R","2-4-R-E"
"668","Celastrus orbiculatus",2,"2-4-R","E","NA","R","2-4-R-E"
"669","Lindera benzoin",2,"2-4-R","E","NA","R","2-4-R-E"
"670","Carya spp.",3,"2-4-R","E","NA","R","2-4-R-E"
"671","Alliaria petiolata",4,"2-4-R","E","NA","R","2-4-R-E"
"672","Polygonum spp.",2,"2-4-R","E","NA","R","2-4-R-E"
"673","Boehmeria spp.",3,"2-4-R","E","NA","R","2-4-R-E"
"674","Rosa multiflora",4,"2-2-I","Center","NA","I","2-2-I-Center"
"675","Crataegus spp.",5,"2-2-I","Center","NA","I","2-2-I-Center"
"676","Viola spp.",3,"2-2-I","Center","NA","I","2-2-I-Center"
"677","Rubus spp.",1,"2-2-I","Center","NA","I","2-2-I-Center"
"678","Celastrus orbiculatus",3,"2-2-I","Center","NA","I","2-2-I-Center"
"679","Toxicodendron radicans",3,"2-2-I","Center","NA","I","2-2-I-Center"
"680","Parthenocissus quinquefolia",5,"2-2-I","Center","NA","I","2-2-I-Center"
"681","Polystichum acrostichoides",4,"2-2-I","Center","NA","I","2-2-I-Center"
"682","Acer rubrum",1,"2-2-I","Center","NA","I","2-2-I-Center"
"683","Lindera benzoin",1,"2-2-I","Center","NA","I","2-2-I-Center"
"684","Crataegus spp.",5,"2-2-I","NW","NA","I","2-2-I-NW"
"685","Ligustrum vulgare",2,"2-2-I","NW","NA","I","2-2-I-NW"
"686","Dryopteris triploidea",14,"2-2-I","NW","NA","I","2-2-I-NW"
"687","Vaccinium spp.",2,"2-2-I","NW","NA","I","2-2-I-NW"
"688","Celastrus orbiculatus",3,"2-2-I","NW","NA","I","2-2-I-NW"
"689","Parthenocissus quinquefolia",2,"2-2-I","NW","NA","I","2-2-I-NW"
"690","Viburnum acerifolium",1,"2-2-I","NW","NA","I","2-2-I-NW"
"691","Epilobium spp.",1,"2-2-I","NW","NA","I","2-2-I-NW"
"692","Berberis thunbergii",17,"2-2-R","Center","NA","R","2-2-R-Center"
"693","Boehmeria spp.",6,"2-2-R","Center","NA","R","2-2-R-Center"
"694","Celastrus orbiculatus",21,"2-2-R","Center","NA","R","2-2-R-Center"
"695","Viola spp.",16,"2-2-R","Center","NA","R","2-2-R-Center"
"696","Ligustrum vulgare",12,"2-2-R","Center","NA","R","2-2-R-Center"
"697","Parthenocissus quinquefolia",8,"2-2-R","Center","NA","R","2-2-R-Center"
"698","Monocot",5,"2-2-R","Center","NA","R","2-2-R-Center"
"699","Rosa multiflora",16,"2-2-R","Center","NA","R","2-2-R-Center"
"700","Galium spp.",12,"2-2-R","Center","NA","R","2-2-R-Center"
"701","Vitis spp.",2,"2-2-R","Center","NA","R","2-2-R-Center"
"702","Plantago spp.",2,"2-2-R","Center","NA","R","2-2-R-Center"
"703","Monocot",3,"2-2-R","Center","NA","R","2-2-R-Center"
"704","Dryopteris triploidea",9,"2-2-R","Center","NA","R","2-2-R-Center"
"705","Thelypteris noveboracensis",70,"2-2-R","Center","NA","R","2-2-R-Center"
"706","Onoclea sensibilis",2,"2-2-R","Center","NA","R","2-2-R-Center"
"707","Polygonum spp.",2,"2-2-R","Center","NA","R","2-2-R-Center"
"708","Prunus serotina",2,"2-2-R","Center","NA","R","2-2-R-Center"
"709","Elaeagnus umbellata",1,"2-2-R","Center","NA","R","2-2-R-Center"
"710","Berberis thunbergii",36,"2-2-R","N","NA","R","2-2-R-N"
"711","Rosa multiflora",18,"2-2-R","N","NA","R","2-2-R-N"
"712","Celastrus orbiculatus",24,"2-2-R","N","NA","R","2-2-R-N"
"713","Parthenocissus quinquefolia",11,"2-2-R","N","NA","R","2-2-R-N"
"714","Vitis spp.",5,"2-2-R","N","NA","R","2-2-R-N"
"715","Boehmeria spp.",4,"2-2-R","N","NA","R","2-2-R-N"
"716","Impatiens spp.",7,"2-2-R","N","NA","R","2-2-R-N"
"717","Oxalis spp.",14,"2-2-R","N","NA","R","2-2-R-N"
"718","Ligustrum vulgare",5,"2-2-R","N","NA","R","2-2-R-N"
"719","Polygonum spp.",2,"2-2-R","N","NA","R","2-2-R-N"
"720","Monocot",3,"2-2-R","N","NA","R","2-2-R-N"
"721","Viola spp.",4,"2-2-R","N","NA","R","2-2-R-N"
"722","Alliaria petiolata",2,"2-2-R","N","NA","R","2-2-R-N"
"723","Galium spp.",21,"2-2-R","N","NA","R","2-2-R-N"
"724","Elaeagnus umbellata",1,"2-2-R","N","NA","R","2-2-R-N"
"725","Epilobium spp.",2,"2-2-R","N","NA","R","2-2-R-N"
"726","Vaccinium spp.",2,"2-2-R","N","NA","R","2-2-R-N"
"727","Polystichum acrostichoides",17,"2-2-R","N","NA","R","2-2-R-N"
"728","Thelypteris noveboracensis",16,"2-2-R","N","NA","R","2-2-R-N"
"729","Polygonum spp.",56,"2-2-C","Center","NA","C","2-2-C-Center"
"730","Lamium purpureum",1,"2-2-C","Center","NA","C","2-2-C-Center"
"731","Rubus spp.",8,"2-2-C","Center","NA","C","2-2-C-Center"
"732","Boehmeria spp.",77,"2-2-C","Center","NA","C","2-2-C-Center"
"733","Persicaria spp.",7,"2-2-C","Center","NA","C","2-2-C-Center"
"734","Vitis spp.",2,"2-2-C","Center","NA","C","2-2-C-Center"
"735","Berberis thunbergii",35,"2-2-C","Center","NA","C","2-2-C-Center"
"736","Viola spp.",6,"2-2-C","Center","NA","C","2-2-C-Center"
"737","Celastrus orbiculatus",7,"2-2-C","Center","NA","C","2-2-C-Center"
"738","Lindera benzoin",8,"2-2-C","Center","NA","C","2-2-C-Center"
"739","Monocot",3,"2-2-C","Center","NA","C","2-2-C-Center"
"740","Rosa multiflora",18,"2-2-C","Center","NA","C","2-2-C-Center"
"741","Parthenocissus quinquefolia",4,"2-2-C","Center","NA","C","2-2-C-Center"
"742","Galium spp.",8,"2-2-C","Center","NA","C","2-2-C-Center"
"743","Oxalis spp.",2,"2-2-C","Center","NA","C","2-2-C-Center"
"744","Monocot",2,"2-2-C","Center","NA","C","2-2-C-Center"
"745","Berberis thunbergii",21,"2-2-C","S","NA","C","2-2-C-S"
"746","Toxicodendron radicans",3,"2-2-C","S","NA","C","2-2-C-S"
"747","Vitis spp.",4,"2-2-C","S","NA","C","2-2-C-S"
"748","Boehmeria spp.",35,"2-2-C","S","NA","C","2-2-C-S"
"749","Celastrus orbiculatus",8,"2-2-C","S","NA","C","2-2-C-S"
"750","Lindera benzoin",9,"2-2-C","S","NA","C","2-2-C-S"
"751","Polygonum spp.",11,"2-2-C","S","NA","C","2-2-C-S"
"752","Impatiens spp.",7,"2-2-C","S","NA","C","2-2-C-S"
"753","Persicaria spp.",4,"2-2-C","S","NA","C","2-2-C-S"
"754","Parthenocissus quinquefolia",7,"2-2-C","S","NA","C","2-2-C-S"
"755","Epilobium spp.",2,"2-2-C","S","NA","C","2-2-C-S"
"756","Ligustrum vulgare",4,"2-2-C","S","NA","C","2-2-C-S"
"757","Galium spp.",6,"2-2-C","S","NA","C","2-2-C-S"
"758","Monocot",5,"2-2-C","S","NA","C","2-2-C-S"
"759","Viola spp.",5,"2-2-C","S","NA","C","2-2-C-S"
"760","Elaeagnus umbellata",4,"2-2-C","S","NA","C","2-2-C-S"
"761","Carya spp.",1,"2-2-C","S","NA","C","2-2-C-S"
"762","Ranunculus spp.",2,"2-2-C","S","NA","C","2-2-C-S"
"763","Epilobium spp.",1,"2-2-C","S","NA","C","2-2-C-S"
"764","Rosa multiflora",6,"2-2-C","S","NA","C","2-2-C-S"
"765","Polystichum acrostichoides",10,"2-2-C","S","NA","C","2-2-C-S"
"766","Rubus spp.",1,"2-2-C","S","NA","C","2-2-C-S"
