"","Trap.ID","Location","Diameter"
"199","E-2-1-T","LR",12
"200","E-2-1-T","LR",6
"201","E-2-1-T","LR",6
"202","E-2-1-T","LR",7
"203","E-2-1-T","LR",11
"204","E-2-1-T","UL",4
"205","E-2-1-T","UL",3
"206","E-2-1-T","UL",2
"207","E-2-1-T","UL",2
"208","E-2-1-T","UL",1
"209","E-2-1-T","UL",2
"210","E-2-1-T","UL",1
"211","E-2-1-T","UL",1
"212","E-2-1-T","UR",8
"213","E-2-1-T","UR",8
"214","E-2-1-T","UR",7
"215","E-2-1-T","UR",4
"216","E-2-1-T","UR",8
"217","E-2-1-T","UR",7
"218","E-2-1-T","UR",12
"219","E-2-1-T","UR",7
"220","E-2-1-T","UR",8
"221","E-2-1-T","UR",7
"222","E-2-1-T","UR",9
"223","E-2-1-T","UR",8
"224","E-2-1-T","UR",11
"225","E-2-1-T","UR",6
"226","E-2-1-T","UR",8
"227","E-2-1-T","UR",7
"228","E-2-1-T","UR",8
"229","E-2-1-T","UR",15
"230","E-2-1-T","UR",6
"231","E-2-1-T","UR",7
"232","E-2-1-T","UR",6
"233","E-2-1-T","UR",6
"234","E-2-1-T","UR",6
"235","E-2-1-T","UR",13
"236","E-2-1-T","UR",12
"237","E-2-1-T","UR",7
"238","E-2-1-T","UR",5
"239","E-2-1-T","UR",12
"240","E-2-1-T","UR",13
"241","E-2-1-T","UR",11
"242","E-2-1-T","UR",14
"243","E-2-1-T","UR",12
"244","E-2-1-T","UR",14
"245","E-2-1-T","UR",12
"246","E-2-1-T","UR",9
"247","E-2-2-C","UR",3
"248","E-2-2-C","UR",4
"249","E-2-2-C","UR",2
"250","E-2-2-C","UR",2
"251","E-2-2-T","LR",7
"252","E-2-2-T","LR",6
"253","E-2-2-T","LR",9
"254","E-2-2-T","LR",3
"255","E-2-2-T","LR",5
"256","E-2-2-T","LR",5
"257","E-2-2-T","LR",7
"258","E-2-2-T","LR",4
"259","E-2-2-T","UL",8
"260","E-2-2-T","UL",4
"261","E-2-2-T","UL",4
"262","E-2-2-T","UL",7
"263","E-2-2-T","UL",7
"264","E-2-2-T","UL",4
"265","E-2-2-T","UL",5
"266","E-2-2-T","UR",8
"267","E-2-2-T","UR",6
"268","E-2-2-T","UR",7
"269","E-2-2-T","UR",8
"270","E-2-2-T","UR",5
"271","E-2-2-T","UR",12
"272","E-2-2-T","UR",10
"273","E-2-2-T","UR",10
"274","E-2-2-T","UR",9
"275","E-2-2-T","UR",9
"276","E-2-2-T","UR",7
"277","E-2-2-T","UR",5
"278","E-2-5-C","LL",2
"279","E-2-5-C","LL",5
