"#### Detection rates of each bird species using either mist nets or point counts. Rates are either number of individual captures per 1000 mist net hours (using 12 x 2.6 m nets) divided by total mist net hours, or detection rate per 100 point count minutes (truncated to 100m radius), divided by total point count minutes ####",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Type,Amazona amazonica,Ara chloropterus,Attila cinnamomeus,Amazona dufresniana,Amazona farinosa,Amazilia fimbriata,Ara macao,Automolus ochrolaemus,Automolus roraimae,Automolus rubiginosus,Attila spadiceus,Bucco capensis,Brotogeris chrysoptera,Buteo nitidus,Chloroceryle aenea,Crax alector,Cyphorhinus arada,Cyanerpes caeruleus,Cotinga cayana,Cercomacra cinerascens,Contopus cinereus,Cotinga cotinga,Cyanerpes cyaneus,Cyanocompsa cyanoides,Celeus elegans,Celeus flavus,Corapipo gutturalis,Cacicus haemorrhous,Chloroceryle inda,Campylopterus largipennis,Cymbilaimus lineatus,Campephilus melanoleucos,Chlorostilbon mellisugus,Chrysolampis mosquitus,Capito niger,Chlorostilbon notatus,Colaptes rubiginosus,Chlorophanes spiza,Cercomacra tyrannina,Celeus undatus,Catharus ustulatus,Crypturellus variegatus,Celeus torquatus,Corythopis torquatus,Deroptyus accipitrinus,Dendrocolaptes certhia,Dendrocincla fuliginosa,Dryocopus lineatus,Deconychura longicauda,Dendrocincla merula,Dendroplex picus,Dixiphia pipra,Epinecrophylla gutturalis,Formicarius analis,Formicarius colma,Formicivora grisea,Florisuga mellivora,Formicarius nigricapillus,Frederickena viridis,Galbula albirostris,Galbula dea,Glaucis hirsutus,Geotrygon montana,Gymnopithys rufigula,Glyphorynchus spirurus,Grallaria varia,Heliothryx auritus,Hypocnemis cantator,Herpsilochmus dorsimaculatus,Hemithraupis flavicollis,Henicorhina leucosticta,Hylopezus macularius,Hypocnemoides melanopogon,Haematoderus militaris,Hylophilus muscicapinus,Hylophilus ochraceiceps,Hylexetastes perrotii,Herpsilochmus stictocephalus,Herpsilochmus sticturus,Hylophilus thoracicus,Ibycter americanus,Ictinia plumbea,Jacamerops aureus,Lepidocolaptes albolineatus,Lanio fulvus,Lophotriccus galeatus,Laniocera hypopyrra,Leptotila verreauxi,Lipaugus vociferans,Monasa atra,Myrmotherula axillaris,Myiobius barbatus,Myrmotherula behni,Myrmotherula brachyura,Myrmothera campanisona,Myiozetetes cayanensis,Myiornis ecaudatus,Myrmeciza ferruginea,Micrastur gilvicollis,Myrmotherula guttata,Myrmotherula longipennis,Mionectes macconnelli,Myiodynastes maculatus,Myrmotherula menetriesii,Micrastur mirandollei,Momotus momota,Mionectes oleagineus,Micrastur ruficollis,Myrmotherula schisticolor,Myrmotherula surinamensis,Myiarchus tuberculifer,Microcerculus ustulatus,Megascops watsonii,Myrmornis torquata,Neopelma chrysocephalum,Notharchus macrorhynchos,Neomorphus rufipennis,Notharchus tectus,Onychorhynchus coronatus,Ornithion inerme,Pithys albifrons,Procnias albus,Pteroglossus aracari,Phaethornis augusti,Pyrilia caica,Phoenicircus carnifex,Pheugopedius coraya,Platyrinchus coronatus,Psophia crepitans,Psarocolius decumanus,Picumnus exilis,Piculus flavigula,Pionus fuscus,Phaethornis griseogularis,Penelope jacquacu,Phaethornis longuemareus,Penelope marail,Pionus menstruus,Pyrrhura picta,Platyrinchus platyrhynchos,Patagioenas plumbea,Philydor pyrrhodes,Phaethornis ruber,Philydor ruficaudatum,Platyrinchus saturatus,Phaethornis striigularis,Patagioenas subvinacea,Phaethornis superciliosus,Perissocephalus tricolor,Psarocolius viridis,Periporphyrus erythromelas,Philydor erythrocercum,Pheucticus melanocephalus,Pipra erythrocephala,Pionites melanocephalus,Piaya melanogaster,Ramphocaenus melanurus,Rhynchocyclus olivaceus,Ramphotrigon ruficauda,Rhytipterna simplex,Ramphastos tucanus,Ramphastos vitellinus,Selenidera culik,Saltator grossus,Schistocichla leucostigma,Schiffornis turdina,Turdus albicollis,Thamnomanes ardesiacus,Tolmomyias assimilis,Thamnomanes caesius,Trogon chionurus,Trogon collaris,Tyrannulus elatus,Terenotriccus erythrurus,Thalurania furcata,Touit huetii,Thamnophilus insignis,Threnetes leucurus,Taraba major,Trogon melanurus,Tangara mexicana,Thamnophilus murinus,Topaza pella,Tolmomyias poliocephalus,Thamnophilus punctatus,Touit purpuratus,Trogon rufus,Terenura spodioptila,Tolmomyias sulphurescens,Tachyphonus surinamus,Tinamus tao,Trogon violaceus,Tinamus major,Veniliornis cassini,Vireolanius leucotis,Willisornis poecilonota,Xiphorhynchus guttatus,Xenops minutus,Xiphorhynchus obsoletus,Xiphorhynchus pardalotus,Xiphocolaptes promeropirhynchus,Xipholena punicea
K41-3U,U,2.5,0,0,5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0.625,0,3.125,0,3.125,0,0,0,0,3.135,0,0,3.135,0,21.944,0,0,0,0,0,0,0,0,0,0,0,0,10.972,0,0,0,0,3.135,0,1.875,0,0,5,0,0,0.625,0.625,0,0,0,0,1.567,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,1.25,0,1.567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0,0,1.25,0,0,0,4.375,0,0,0,0.625,0,0.625,0,0,1.25,0,3.75,0,0,0,0,0,0,0,0,0.625,0.625,0,0,3.125,0,0,0,0,0,0,2.5,5.625,3.75,0,0,0,1.875,3.135,0,1.25,0,1.25,0,0,0,0,0,0,0,0,3.125,0,2.5,0,0,0,0,0,0,0,0,0,1.25,1.25,0,0,3.125,0,3.135,0,0,0,0
K41-3L,L,5,8.75,0,5,10,0,0,0,0,0,0,0,5.625,0,1.599,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,1.599,0,0,0,0,0,0,0,0,0,3.75,0,2.5,0,0,1.25,0,0,0,1.599,0,0,31.974,0,0,0,0,0,0,0,0,0,0,0,0.625,1.599,0,0,3.75,0,0,0,2.5,0,0,0.625,1.599,0,1.875,0,0.625,0,0,0.625,0,0,0,0.625,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0.625,7.994,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0,0,0,0,0,0.625,0.625,0,0,0,1.25,0,0,4.375,0,0,0,3.125,0,1.25,0,0,0,0,1.25,3.125,0,0,0,0,0,3.125,1.599,0,0.625,0,0,1.875,0,4.375,0,0,0,0,0.625,0,0,0,0.625,0,0.625,0,0,0,0,0,0,0,0,4.796,0,0,0,0,3.75,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.197,3.197,0,0,0,0
K41-2U,U,0,0,0,3.333,0,0,0,0,0,0,0,0,0,0.833,3.221,0,0,0,0,0,0,0,0,0,0,0,4.831,0,0,0,0,0,0,0,0,1.61,0.833,5,0,1.667,0,0,0,0,0,0,6.441,0,1.61,0,0,40.258,0,0,0,0,0,0,0,0,0,0,0,1.667,6.441,0,0,0,0,0,0,0.833,0,0,2.5,0,0,3.333,4.167,0,8.333,0,0.833,0,0,0,0,0,15,0,0.833,0,0,0,0,0,0,0,0,3.333,1.667,20.934,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,1.667,0.833,0,0,0,1.667,0,0,2.5,0,0.833,0,0,0,0,4.167,3.333,0,0,0,0.833,0,0,0,0,5,0,0,4.167,0,0,0,0,0,0,0,0.833,0.833,0,0,0,0.833,0,0,3.333,1.667,0,0,0,0,0,0,0,0,0,0,0,4.167,0,0,0,0,1.667,0,0,0,0,0,0,0,0.833,0,1.61,0,0,0,0,0
K41-2L,L,0,3.75,0,3.75,11.875,0,0,0,0,0,0,0,0,0,3.268,6.25,0,0,0,0,0,0,0,0,0.625,0,0,0,0,1.634,0,0,0,0,0,0,0,0,0,1.875,1.634,0.625,0,0,0,0,0,0,0,0,0,42.484,0,2.5,0.625,0,0,0,0,0,0,0,0,0.625,4.902,0,0,1.875,0,0,0,1.875,0,0,1.25,0,0,6.875,0,1.25,1.25,0,0,0,0,1.25,0.625,0,8.125,0,0,0,0,0,0,0,0,0,0,1.25,1.875,1.634,0,0,0,0,13.072,0.625,0,0,0,0,0,0.625,0,0,0,0,0,0,0,2.5,0,0,1.875,1.25,0,0,7.5,0,0,0,1.875,0,1.25,0,0,0.625,0,1.25,3.75,0,0,0,1.25,0,1.25,1.634,0,1.25,0,0,2.5,1.634,2.5,0,0,0,1.634,0.625,0.625,0.625,0,0,0,2.5,0,0.625,0,0,1.875,0,0,0,0,0,0,0,0,3.125,0,1.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.634,0,0,0,0,0
K41-1U,U,1.333,2.667,0,1.333,0,0,0,0,0,0,0,0,0,0,1.615,2,0,0,0,0,0,0,0,0,1.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.615,0,1.615,1.615,0,19.374,0,0.667,0,0,0,0,0,0,0,0,0,0,4.844,0,0,1.333,0,0,0,1.333,0,0,4,0,0,6,4.667,0,0,0,0,0,0,0.667,0,0,12,0,4.667,0,0,0,0,0,3.333,0,0,1.333,0,3.229,0,1.333,0,0,3.229,0,0,0,1.333,0,0,1.333,0,0,0,0,0,0,1.333,0,0,0,1.333,0.667,0,0,5.333,0,0,0,2.667,0,0,0,0.667,1.333,0,2.667,2.667,0,0,0,2,0,0.667,0,0,0,0,0,0,0,0.667,0,0,0,0,1.333,2,2.667,0,0,0,0,0,0,4,5.333,2.667,0,0,0.667,0,0,0,0,0,0.667,0,2.667,0,0,0,0,1.333,0,0,0.667,0,1.333,0,0,0,2.667,0,1.615,0,0,0,0
K41-1L,L,2.5,6.25,0,3.75,2.5,0,0,0,0,0,2.5,0,0,0,1.736,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,19.097,0,2.5,1.25,0,0,0,2.5,0,0,0,0,2.5,12.153,0,0,0,0,0,0,0,0,0,2.5,5.208,0,2.5,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,3.472,0,0,0,0,1.736,0,0,0,0,0,0,1.25,3.472,0,0,0,0,0,0,2.5,2.5,0,0,0,0,0,0,0,0,0,5,0,2.5,0,0,0,0,6.25,0,0,0,0,1.25,0,2.5,0,8.75,2.5,0,0,3.75,0,0,0,0,0,0,3.75,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1.736,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,1.736,0
K39-4U,U,1.333,1.333,0,1.333,11.333,0,0,0,0,1.543,1.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.667,0,6.173,0,1.543,0,0.667,0,0,0,0,0,0.667,0,0,2,0,0,0.667,0,0,1.543,0,0,0,1.543,0,4.63,0,4.667,0,0,0,0,0,0,0,0,0,0,1.543,0,0,0,0,0,0,2.667,1.543,0,0,0,0,1.333,0.667,0,0,0,0,0,0,2.667,0,0,3.333,0,0,0,0,0,0,0,0,0,0,3.333,0.667,6.173,0,0,0,4.667,4.63,0,0,0,0,1.333,0,0,0,0,0,0,0,0,0,0,0,0,1.333,0.667,0,0,0,0,0,0,1.333,0,0,0,0.667,0,2.667,0.667,0,0,0,0,0,0,0,0,0,0,2,0,2.667,0,3.333,0,0,0,0,0.667,5.333,7.333,0,0,0,0.667,1.543,1.333,0,0,0.667,0,0,0,0,0,0,0,0,2.667,0,1.333,0,0,0,0,0,0,0,0,0,0.667,0.667,0.667,0,2,1.543,3.086,0,1.543,0,0
K39-4L,L,1,0,0,2,6,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,1.543,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1.543,0,0,1.543,0,9.259,0,1,0,0,0,0,0,0,0,0,0,0,1.543,0,0,0,0,0,0,1,0,0,1,1.543,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,4.63,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1.543,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,2,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,1,0,0,0,2,4.63,0,0,0,0,0
K39-3U,U,1.25,0,0,3.75,5,0,0,1.406,0,2.813,0,0,6.875,0,0,3.75,15.471,0,0,4.375,0,0,1.25,0,0,0,1.406,0,0,0,2.5,0,0,0,0.625,0,0.625,1.875,0,2.5,0,1.25,0,0,0,0,1.406,0,0,0,0,4.219,0,0,1.875,0,0,0,0,0.625,0.625,0,0,0,2.813,0,0,0,0,0,0,0.625,0,0,3.75,2.813,0,6.25,3.125,1.875,0,1.875,1.25,0,0,3.125,0,0,5.625,0,1.25,0,1.25,0,1.25,0.625,0,0,0,1.875,3.125,1.406,0,1.25,0,1.875,11.252,0,0,3.75,0,1.25,0,2.5,0,0,0.625,1.25,0,0,2.5,0,1.875,0,5,0.625,0,0,0,0,1.25,0,1.875,0,0,0,1.25,0,0,0,2.5,0,0,1.406,0,0,0,0,0,20.625,3.125,0,1.875,0,0,0,0,0,0,0,1.875,6.875,1.25,1.25,0,0.625,0,2.5,3.125,0.625,1.25,0,2.5,1.25,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,3.75,0,0,0,0,4.219,0,0
K39-3L,L,4,4,0,5,7,0,0,0,0,0,0,0,4,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1.565,0,2,0,0,0,10.955,0,0,0,0,0,0,0,0,0,0,1,1,3.13,0,0,1,0,0,0,5,0,0,0,3.13,0,1,0,0,0,1,1,0,0,1,0,0,6,0,3,0,0,0,0,0,0,0,0,2,0,1.565,0,0,0,0,4.695,0,0,0,0,1,0,1,0,0,0,0,0,0,4,1,2,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,3.13,0,0,0,0,0,0,0,2,1,7.825,2,0,2,0,0,0,0,1,5,0,0,2,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3.13,3.13,1.565,0,0
K39-2U,U,0,1.25,0,2.5,0,0,0,0,1.543,0,0.625,0.625,1.25,0,1.543,5,0,0,0,6.25,0,0,0,0,0,0,1.543,0,0,0,1.875,0,0,0,1.25,0,0,0.625,0,2.5,0,1.25,0,0,0,0,3.086,0,0,20.062,0,10.802,0,1.25,1.875,0,0,0,0,0,0,0,1.25,0,1.543,0,0,0,0.625,0,0,0.625,0,0.625,0.625,0,0,2.5,1.25,0.625,1.25,0,0,0,0,2.5,0,0,25,0,1.875,0,0,0.625,0,1.25,0,0,0,5,3.125,3.086,0,0,0,1.875,6.173,0,0,0,0,1.875,0,0,0,0,0,0,0,0,3.75,0,0,0,1.25,1.25,0,0,4.375,0,0,0,2.5,0,0,0,0.625,3.75,0,0.625,0,0,0,0,0,0,0.625,0,0,2.5,1.875,0,1.875,0,2.5,0,0,0,0,0,1.25,4.375,0,0,0,0,0,4.375,2.5,1.25,0,0,0,0,0,0,0,0,0,1.25,0,2.5,0,0,0,0,0.625,0,0,0,0,0.625,0.625,0,0.625,2.5,1.543,0,0,1.543,1.543,0
K39-2L,L,1.818,0,0,0.909,4.545,0,0,0,0,0,0,0,1.818,0,0,0,0,1.818,0,2.727,0,0,0,0,0,0,3.221,0,0,0,2.727,1.818,0,0,1.818,0,0,1.818,0,1.818,0,1.818,0,0,0,0,3.221,0,0,1.61,1.61,0,1.818,2.727,0.909,0,0,0,0,0,0,0,2.727,0,3.221,0,0,1.818,0,0,0,3.636,0,0,0,0,0,0,0,0.909,0,0,0,0,0,1.818,0,0,10.909,0,0.909,0,0,0,0,0,0,1.818,0,1.818,0,1.61,0,0,0,0,1.61,0,0,0,0,1.818,0,0,0,0,0,0,0,0,0.909,0,0,0,0,0,0,0,9.091,1.818,0,0,1.818,0,0,1.61,0,0,0,0.909,1.818,0,0,0,0,0,0,1.61,0,0,1.818,0,0,1.61,0,0,0,0,0,0.909,1.818,0,0,0.909,0,0,0,0.909,0,2.727,0.909,0,0.909,0,1.61,0,0,0,0,0.909,0,4.545,0,0,0,1.818,1.818,0,0,1.818,0,0,0,0,0,6.364,4.831,0,0,0,0,0
K39-1U,U,1.333,1.333,0,2.667,2.667,0,0,0,0,0,0.667,0,6.667,0,0,2,0,0,0,0,0,0,0,0,0.667,0,1.565,0,0,0,0.667,0,0,0,0,0,0.667,1.333,0,5.333,0,0.667,0,0,0,0,1.565,0,1.565,3.13,0,7.825,0,0.667,0.667,0.667,0,0,0,0,0,0,0.667,0,6.26,0,0,0,0,0,0,1.333,0,0,0,0,0,2.667,2,0,0,0,0,0,0,0,0,0,6.667,0,0.667,0,0,0,0,0,0,0,0.667,2.667,0.667,0,0,0,0,0,1.565,0,0,0.667,0,2,0,0,0,0,0,0.667,1.565,0,0,0,0.667,0,0.667,1.333,0,0,5.333,0.667,0,0,1.333,0,0,0,0,0,0,2,0.667,0,0,0,0,0,0.667,3.13,0,3.333,1.333,0,0.667,3.13,2,0,0,0,0,0.667,3.333,4.667,0,0,0,2,0,4,0.667,1.333,1.333,0,0.667,0,0,0,0,0,0,0.667,0,1.333,0,0,0,0,1.333,0,0,0,0,2,0,0,0,2.667,1.565,1.565,0,1.565,0,0
K39-1L,L,6.154,1.538,0,5.385,5.385,0,0,0,0,0,4.615,0,1.538,0,0,3.077,0,0,0,0,0,0,0,0,0,0,3.317,0,0,0,2.308,0,0,0,0,1.658,0,0,1.538,0.769,0,3.077,0,0,1.538,0,1.658,0,0,0,0,13.267,0,0.769,0.769,0,0,0,0,0,0,0,0,0.769,9.95,0,0,0.769,0,1.658,0,1.538,0,0,4.615,4.975,0,2.308,0,0,0,0,0.769,0,0,0.769,0,0,3.077,0,0.769,0,0,0,0,0,0,0.769,0,3.846,0.769,0,0,0,0,3.077,3.317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.308,0,0,0,3.077,0.769,0,0,1.538,0,0,0,0,4.615,0,0,0,0,0,0,0,0,3.846,4.975,0,1.538,0,0,0,0,0,0,0,0,0,0,0.769,0.769,0,1.538,0,0.769,0,0,0,0,3.077,0,0,0,0,0,0,0,0,1.538,0,3.846,0,0,0,0,0.769,0,0,0,0,0,0.769,0,0,2.308,0,0,0,3.317,0,0
E6-2U,U,0,1.25,0,0.625,5.625,0,0,0,0,1.481,0,0,0,0,0,2.5,2.963,0,0,1.875,0,0,0,0,0.625,1.25,0,0,0,2.963,2.5,0,0,0,1.25,0,0,2.5,0,2.5,0,1.25,3.125,0,5,0,0,0,0,1.481,0,14.815,0,1.875,1.25,0,0,0,0,0,1.25,0,0,0.625,7.407,0,0.625,0,0,0,0,0,0,0,1.25,0,0,1.875,1.875,0,3.125,0,0.625,0,0,0,0,0,15.625,0,0,0,0,0,0,0.625,0,1.25,0,2.5,2.5,14.815,0,0,0,0,0,0,1.481,0,0,0,0,0,0,0,0,0,0,0,3.125,0,0,0,1.25,2.5,0,0,8.125,0,0,0.625,0,1.481,0.625,0,0,1.25,0,1.25,3.75,0,0,0,0,0,0,1.481,0,0,0,0,2.5,0,6.875,0,0,0,1.481,0.625,0.625,0.625,2.5,0,0,0,0,0.625,1.875,1.25,2.5,0,0.625,1.875,1.481,1.875,0,4.444,0,4.375,0,4.375,0,0,0,0,0.625,0.625,0,0,0,0,0.625,0,0,2.5,0,1.481,0,1.481,0,0
E6-2L,L,0,7.5,0,1.25,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,1.634,0,0,4.902,1.25,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,4.902,0,3.268,1.634,0,6.536,0,0,0,0,0,0,0,0,0,0,0,3.75,8.17,0,0,2.5,0,0,0,1.25,0,1.25,1.25,0,0,2.5,0,0,2.5,0,0,0,0,1.25,0,0,2.5,0,0,0,0,1.25,5,0,0,0,2.5,1.25,0,11.438,0,0,0,0,8.17,0,0,0,0,0,0,0,0,1.25,0,0,0,0,1.25,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,1.25,0,1.25,3.75,0,0,0,0,0,0,0,0,2.5,0,0,3.75,3.268,2.5,0,2.5,0,1.634,0,5,1.25,0,0,0,0,0,1.25,0,2.5,1.25,0,0,0,0,0,0,1.634,0,1.25,0,3.75,1.634,0,0,0,2.5,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0
E6-1U,U,0,0.645,0,1.29,1.29,0,0,0,0,0,0,0,3.226,0,0,2.581,1.548,0.645,0,3.226,0,0,0,0,1.29,0,0,0.645,1.548,10.836,0.645,0,1.548,0,0,0,0.645,1.29,0,1.935,0,0.645,0,0,0,0,3.096,0,1.548,1.548,0,10.836,0,0,0.645,0,0,0,0,0,0,1.548,0,0,10.836,0,0.645,0,0,0,0,0,0,0,4.516,0,0,5.806,7.742,0.645,0,0,0,0,0,0.645,1.29,0,10.968,0,0,0,0,0,0,0,0,0,0,1.935,0,4.644,0,0,0,0,1.548,0,0,3.226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.581,0.645,0,0,0,0,0,0.645,0,0,0,0,0,2.581,0,3.226,6.452,0,1.548,0,0,3.096,0,0,0,0,0,0,3.871,0,1.935,0,0,0,0,0,1.29,2.581,0,0.645,0,0,0,0,1.29,0,0,0,3.226,1.29,4.644,0,0,1.548,0,2.581,0,0.645,0,0,0,1.29,0.645,0,0,0,0,3.226,0,0,3.226,1.29,0,0,0,0,0,0
E6-1L,L,0,5,0,2.5,0,0,0,0,0,0,0,0,2.5,0,0,2.5,0,0,0,4.167,0,0,0,0,0,0,3.795,0,0,7.59,1.667,0,0,0,0.833,0,0,0,0,0.833,0,0.833,0.833,0,0,0,1.898,0,3.795,1.898,0,22.77,0,0.833,0,0,0,0,0,0,0,0,0,0,7.59,0,0,0.833,0,0,0,0.833,0,0,4.167,1.898,0,0,0,0,1.667,0,0,0,0,0,2.5,0,4.167,0.833,0,0,0,0.833,0.833,0,0,0,0,1.667,0.833,7.59,0,0,0,0,7.59,0,0,0,0,0.833,0,0,0,0,0,0,1.898,0,0,0,0,0,0,0,0.833,0,0,0,0,0.833,1.667,0,0,0,0,0.833,0,0.833,4.167,0,0,0,0,0,0,0,0,0,0,0,0.833,1.898,0,0,0,0,0,0.833,2.5,0.833,1.667,3.333,0,0,0,3.333,0,2.5,2.5,0.833,0,0,0,0,0,0,0,0,0,6.667,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0
E4-3U,U,1.25,0,0,5,3.75,1.634,0,1.634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.875,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0,3.125,0,1.25,0.625,1.634,0,0,1.634,0,1.634,1.634,0,62.092,0,0,0,0,0,0,0,0,0.625,0,0,1.25,9.804,0,0,0,0,0,1.634,3.75,0,0,0.625,0,0,1.25,0,0,0,0,0,0,0,0,0,0,8.75,0,5.625,1.25,0,0,0.625,0,0,0,0,4.375,6.875,6.536,1.25,0,0,0,1.634,0,0,0,0,0,0,0.625,0,0,1.25,0,0,0,1.25,0,1.875,0,2.5,0.625,0,0,0,0.625,0,0,10.625,0,0,0,0,3.75,0,0.625,0,0,0,0,4.375,0,0,0,0.625,0,0,0,0,4.902,1.25,0,0,0,0,2.5,3.125,5.625,0,0,0,0,3.268,1.875,0,1.875,1.25,0,1.25,0,0,0,0,0,0,2.5,0,0,0,0,1.25,0,0,0,1.634,0,0,0,0,0,0,5.625,1.634,0,0,1.634,0,0
E4-3L,L,6.667,3.333,0,0,8.333,0,0,0,0,0,0,0,0,0,0,1.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.667,0,0,0,0,0,0,0,0,0,0,0,20.168,0,0,0,0,0,0,0,0,0,0,0,0,8.403,0,0,0,0,0,0,1.667,0,0,0,0,0,3.333,0,0,0,0,0,0,0,0,1.667,0,6.667,0,0,0,0,0,1.667,0,0,0,0,0,0,5.042,0,0,0,0,1.681,0,0,0,0,1.667,0,0,5.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3.333,3.333,0,0,0,0,0,0,0,1.667,3.333,0,0,0,1.681,0,0,0,0,0,0,3.333,1.667,0,0,0,1.667,0,0,0,1.667,1.667,0,0,0,0,0,0,0,0,1.667,0,3.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.042,0,0,0,0,0
E4-2U,U,5.926,1.481,0,4.444,1.481,0,0,0,0,0,1.481,7.407,1.481,0,0,5.926,0,1.481,0,0,0,0,0,0,0,0,0,0,0,0,0.741,0,0,0,0,0,0,2.963,0,0,0,1.481,0,0,4.444,0,1.634,0,0,0,0,26.144,0,0,0.741,0,0,0,0,0,0,0,0,0.741,6.536,0,0,0,0,0,0,8.148,0,0,5.926,0,0,0.741,0.741,0,0,0,0.741,0,0,0,0,0,8.148,0,2.222,0,0,0,0,0,0,0,0,1.481,5.185,3.268,0,0,0,0,0,0,0,0,0,0,0,0,4.902,0,0,0,0,0,0,0,0,0,2.222,4.444,0,0,4.444,0,0,0,2.963,0,0,0,0,1.481,0,2.222,2.222,0,0,0,3.704,1.634,0,1.634,0,0,0,0,5.926,0,4.444,0,0,0,0,0,1.481,0,1.481,0,0,0,0,5.185,0,0.741,0.741,0,0.741,0,3.268,0,1.634,0,0,0.741,0,1.481,0,0,1.481,0,0,0,1.634,3.704,0,0.741,0,0,0,6.667,0,0,0,0,0,0.741
E4-2L,L,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.268,0,0,0,0,26.144,0,0,0,0,0,0,0,0,0,0,0,2.5,1.634,2.5,0,0,0,0,0,5,1.634,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10,0,0,0,0,0,2.5,0,0,0,0,0,2.5,13.072,0,0,0,0,0,0,0,0,0,0,0,2.5,3.268,0,0,0,1.634,0,0,0,0,0,5,5,0,0,0,0,0,2.5,0,0,0,0,0,0,0,2.5,5,0,0,0,0,0,0,6.536,0,7.5,0,0,0,1.634,12.5,0,0,0,1.634,2.5,10,10,0,0,0,0,0,2.5,0,5,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.268,0,0,0,3.268,0
