patch_code,myrtus_presence,patch_size(ha),disturbance(proportion_of_nitrophilous_ruderal_spp),R1_2002,R2_2002,R5_2002,R1_1956,R2_1956,R5_1956,UTM30SX,UTM30SY
276,1,61.39,0.385,0.2086,0.10471,0.0904,0.268,0.21917,0.18864,175105,4137701
2096,1,10.89,0.182,0.09897,0.05826,0.07702,0.12119,0.06598,0.10051,242449,4055669
2098,0,11.23,0.467,0.05257,0.09399,0.07987,0.04341,0.13851,0.135,243529,4056833
2191,0,17.61,0.318,0.12101,0.13663,0.08619,0.24463,0.13205,0.18529,234566,4016943
114,1,52.29,0.5,0.19206,0.05936,0.09695,0.04826,0.01351,0.00421,376494,4141849
2183,0,7.84,0.455,0.2572,0.12564,0.08269,0.22501,0.15055,0.07422,252373,4040281
3021,1,243.86,0.331,0.71967,0.19407,0.11503,0.20793,0.16829,0.27818,207275,4124631
38,1,87.44,0.394,0.27837,0.0698,0.10694,0.46334,0.15561,0.20123,208766,4127187
23,1,352.21,0.406,0.63184,0.37609,0.12207,0.68137,0.44562,0.15628,283248,4125617
25,1,301.63,0.411,0.757,0.31109,0.12207,0.88681,0.46433,0.15541,281502,4127835
3013,1,104.2,0.19,0.36825,0.12467,0.11218,0.37046,0.17671,0.08593,253012,4039524
73,0,13.25,0.571,0.15202,0.18171,0.09384,0.65586,0.51607,0.29735,214310,4132280
2189,0,6.01,0.429,0.06508,0.10383,0.08757,0.28514,0.36734,0.23469,236999,4019301
203,1,473.53,0.363,0.91569,0.44926,0.13116,0.92899,0.64206,0.23602,193247,4140537
24,0,205.03,0.444,0.54056,0.33385,0.12256,0.5349,0.37499,0.16277,284594,4126864
240,1,265.94,0.191,0.65085,0.21164,0.12569,0.97233,0.84809,0.48924,174928,4122413
2127,0,6.96,0.429,0.04252,0.04993,0.09242,0.03272,0.07866,0.05127,257425,4059940
277,0,1.29,0.417,0.15337,0.06061,0.08339,0.24035,0.18882,0.16749,175690,4138154
3019,1,751.91,0.152,0.4423,0.32824,0.14175,0.39685,0.43188,0.29202,174640,4135004
2201,0,120.6,0.633,0.29026,0.12672,0.12391,0.0204,0.05551,0.10665,234197,4014939
3005,1,445.36,0.398,0.64308,0.45217,0.14135,0.63276,0.58648,0.33915,193263,4138407
3026,0,70.05,0.417,0.26779,0.18522,0.12206,0.48633,0.29187,0.15549,282758,4129339
2192,0,42.58,0.213,0.15815,0.17212,0.11804,0.27004,0.28762,0.14775,236523,4014896
267,1,43.79,0.269,0.28483,0.18252,0.12156,0.16239,0.20083,0.19062,164956,4132681
70,1,4.95,0.226,0.07407,0.0944,0.10204,0.49815,0.38836,0.28578,215726,4132478
3020,1,234.19,0.344,0.62645,0.25571,0.14197,0.5538,0.24958,0.21515,166016,4133429
3032,1,270.36,0.315,0.46062,0.31206,0.14437,0.41405,0.24067,0.314,169192,4129827
111,0,1.12,0.485,0.00831,0.02303,0.10565,0.00316,0.0018,0.00103,374802,4146816
2165,0,20.21,0.455,0.12907,0.15616,0.1317,0.37375,0.23987,0.06428,253842,4040578
116,0,6.92,0.583,0.12275,0.12665,0.12214,0.04864,0.01351,0.00369,377129,4142477
3014,1,182.48,0.381,0.55444,0.14523,0.15751,0.62856,0.22699,0.08805,251775,4035488
261,0,184.28,0.345,0.49476,0.34433,0.15908,0.25377,0.26551,0.23007,167542,4130935
79,0,134.83,0.55,0.42176,0.1681,0.15585,0.60481,0.28308,0.38086,221278,4126475
204,1,2.41,0.5,0.00766,0.00987,0.1169,0.02512,0.04617,0.19979,185266,4129853
280,1,37.16,0.35,0.19665,0.16296,0.15206,0.1977,0.18329,0.28634,166057,4130385
3024,1,341.29,0.412,0.69014,0.27826,0.1792,0.93059,0.8015,0.3897,213968,4130512
362,1,7.11,0.214,0.20405,0.16711,0.14132,0.39762,0.25017,0.21723,167480,4134031
200,0,4.09,0.219,0.23375,0.23952,0.13821,0.21864,0.28086,0.40153,193042,4136851
