patch_code,myrtus_presence,patch_size(ha),disturbance(proportion_of_nitrophilous_ruderal_spp),R1_2002,R2_2002,R5_2002,R1_1956,R2_1956,R5_1956,UTM30SX,UTM30SY
187,0,13.96,0.429,0.08457,0.06675,0.03154,0.16838,0.10176,0.11599,161356,4148578
2056,0,22.55,0.231,0.05415,0.03459,0.03525,0.11109,0.30027,0.13614,221915,4049513
2110,1,4.67,0.636,0.01487,0.00372,0.0286,0,0.01649,0.06288,250168,4054138
313,1,5.47,0.355,0.02299,0.01018,0.02934,0.0149,0.01028,0.12404,114441,4129063
35,0,26.13,0.537,0.0832,0.0208,0.03753,0.36998,0.1783,0.06833,209554,4121039
334,0,38.37,0.414,0.14605,0.17758,0.04001,0.30917,0.35434,0.25241,120333,4135138
135,0,15.85,0.6,0.07225,0.04704,0.03494,0.00572,0.0097,0.0024,380139,4159491
2118,0,1.63,0.429,0.08825,0.07676,0.025,0.15989,0.14064,0.08738,252282,4057965
335,0,14.58,0.435,0.06352,0.03237,0.03495,0.28185,0.25551,0.27011,121223,4130273
2184,0,22.85,0.576,0.07274,0.02786,0.0378,0.08753,0.12585,0.14472,235264,4021675
2092,0,18.72,0.609,0.11458,0.10787,0.03729,0.30527,0.12089,0.08792,222726,4043358
325,1,33.61,0.261,0.10701,0.03472,0.04187,0.0659,0.06599,0.17778,123158,4129620
121,0,1.89,0.5,0.0438,0.01634,0.02808,0.02779,0.00801,0.00512,377046,4137711
332,1,6.65,0.308,0.27235,0.16033,0.0341,0.09338,0.16879,0.19372,119978,4136316
18,0,139.59,0.722,0.44137,0.14065,0.05285,0.5516,0.37779,0.19951,204778,4139165
2154,0,20.58,0.609,0.07055,0.05577,0.04108,0.48038,0.23181,0.18417,225723,4028851
330,0,18.35,0.455,0.24056,0.16586,0.04154,0.09227,0.19072,0.24178,119441,4135590
205,0,0.28,0.55,0.03907,0.06972,0.02618,0.25019,0.13524,0.11983,185908,4131636
50,0,14.24,0.534,0.04533,0.01133,0.04025,0,0,0.00085,276028,4096017
86,0,232.49,0.533,0.63435,0.29885,0.05933,0.58927,0.35457,0.08065,331098,4126389
329,1,3.89,0.308,0.1858,0.14179,0.03386,0.07701,0.09344,0.20081,119408,4136297
3009,1,75.21,0.565,0.23945,0.05996,0.05216,0.54696,0.23052,0.07942,240527,4060130
2091,0,5.51,0.609,0.15551,0.11815,0.03741,0.21466,0.1239,0.08695,221253,4043381
195,1,233.65,0.37,0.52101,0.23004,0.06237,0.75852,0.68723,0.34284,191345,4130420
318,0,10.49,0.378,0.04531,0.08618,0.04143,0.32977,0.44349,0.26991,117449,4130138
65,0,23.73,0.577,0.07556,0.01894,0.04649,0.05435,0.01517,0.01771,269602,4169281
194,1,93.15,0.338,0.27858,0.19002,0.05664,0.97048,0.79725,0.45362,193081,4130731
2124,0,13.53,0.429,0.04308,0.03629,0.04427,0.16418,0.08438,0.06011,256185,4060877
317,0,3.31,0.345,0.0196,0.01723,0.0367,0.04413,0.06644,0.19834,116310,4128863
2085,0,5.47,0.333,0.01741,0.00865,0.03955,0.03106,0.01507,0.10372,217961,4046660
2151,1,20.77,0.288,0.08288,0.04091,0.04774,0.13766,0.22318,0.26741,233374,4029502
316,0,2.23,0.346,0.02359,0.01177,0.03574,0.03191,0.0529,0.17811,115707,4128863
355,0,4.84,0.438,0.03186,0.02398,0.04022,0.0266,0.00976,0.002,381756,4159176
