Plot ID,Tree ID,Direction,Diameter
IR-3-2-T,2,N,9
IR-3-2-T,2,N,10
IR-3-2-T,2,N,7
IR-3-2-T,2,N,8
IR-3-2-T,2,N,9
IR-3-2-T,2,N,10
IR-3-2-T,2,N,4
IR-3-2-T,2,N,10
IR-3-2-T,2,N,6
IR-3-2-T,2,N,4
IR-3-2-T,2,N,1
IR-3-2-T,3,S,9
IR-3-2-T,3,S,5
IR-3-2-T,3,S,4
IR-3-2-T,3,S,7
IR-3-2-T,3,S,8
IR-3-2-T,3,S,7
IR-3-2-T,3,S,6
IR-3-2-T,3,S,5
IR-3-2-T,3,S,4
IR-3-2-T,3,S,8
IR-3-2-T,3,S,8
IR-3-2-T,3,S,5
IR-3-2-T,3,S,7
IR-3-2-T,3,S,4
IR-3-2-T,3,N,8
IR-3-2-T,3,N,5
IR-3-2-T,3,N,5
IR-3-2-T,3,N,5
IR-3-2-T,3,N,6
IR-3-2-T,3,N,5
IR-3-2-T,3,N,5
IR-3-2-T,3,N,3
IR-3-2-T,3,N,3
IR-3-2-T,3,N,2
IR-3-2-T,3,N,9
IR-3-2-T,3,N,12
IR-3-2-T,3,N,10
IR-3-2-T,3,N,2
IR-3-2-T,3,N,1
IR-3-2-T,3,N,5
IR-3-2-T,3,N,6
