Urban,Agriculture,BIBI,Nitrate,Phosphate
2.102716785,39.44919985,3.439998627,0.575,0.0007
2.126058325,39.09689558,3.88999939,0.264,0.0003
0.179964007,6.898620276,2.709999084,0.032,0.0046
0.400880623,66.34902901,3.289999008,2.851,0.0078
0.185554257,32.93244451,3,2.317,0.0068
1.132186443,65.65210998,3.859998703,2.545,0.0226
3.489361702,3.506382979,3.669998169,0.1,0.0005
1.80025718,9.001285898,4.329998016,0.329,0
2.890716804,17.46180964,4.559997559,1.308,0.0086
0.3125,9.453125,3,0.019,0.0026
0.138641315,21.46959794,2.559999466,1.735,0.0007
2.376910017,0,3.222221375,0.034,0.0017
2.94017094,5.076923077,4.779998779,0.267,0.0006
2.570093458,5.282969886,4.779998779,0.491,0.0007
3.056194545,22.31350641,4.109996796,1.169,0.0063
2.225362063,16.30166019,4.329998016,0.6,0.0112
3.680981595,1.840490798,3.219999313,2.622,0.0007
0.352174679,9.068497975,1.857142448,0.026,0.002
0.778388278,16.16300366,1.219999313,0.203,0.0004
2.256851155,10.85437937,3.88999939,0.542,0.004
0.302114804,62.53776435,1.859999657,0.144,0.0202
2.764641688,10.04001455,4.329998016,0.494,0.0007
0.644088926,67.66396565,3.859998703,3.756,0.0264
3.026670662,0,3.444442749,0.948,0.0007
0.357405141,80.04406365,3.88999939,2.256,0.027
0.735970561,30.12879485,1,0,0.0025
0.419016922,82.78807413,3.439998627,5.864,0.0284
1.345009914,8.592200925,4.329998016,0.425,0.0016
3.497222794,0.061715696,3.669998169,0.139,0.0003
0.123784262,42.5464191,1,0.919,0.0699
0.575815739,83.6212412,3.669998169,5.227,0.0069
1.393866985,0,3.219999313,0.549,0.004
1.399575484,8.463783497,4.329998016,0.774,0.0019
0.717948718,83.28205128,2.429998398,2.13,0.0013
0.804597701,1.724137931,3.289999008,0.001,0.0007
0.456100342,21.66476625,1.669999123,0.001,0.0224
2.276632302,49.95704467,3.859998703,0.998,0.0007
0.383631714,25.44757033,1.285714149,0.09,0.0021
2.840422495,0,3.669998169,0.106,0.0004
2.822523165,0,4.559997559,0.256,0.0013
3.553419743,10.6128803,4.329998016,0.136,0.0001
1.108033241,93.62880886,2.109998703,8.902,0.0027
3.535281028,11.04730457,4.329998016,0.309,0.0007
0.828898895,75.74703234,4.109996796,3.632,0.0007
3.565753981,11.2958652,3.219999313,0.298,0.0007
0.090211998,74.19936852,3,7.043,0.0055
0.796870472,21.64589974,3,0.13,0.0049
0.483320697,92.99658832,1.859999657,2.094,0.0091
2.477700694,52.55203171,3.289999008,1.122,0.0031
1.3136289,0.8757526,3.669998169,0.137,0.0007
3.47826087,42.31884058,2.559999466,0.548,0.0045
3.619114547,2.1433591,3.439998627,0.369,0.0007
0.478755236,83.86195891,1.859999657,3.092,0.0007
0.475435816,64.77113825,4.109996796,2.48,0.0032
0.673309992,82.41314301,1.859999657,0.961,0.0013
1.912361885,10.5486826,4.559997559,0.919,0.0034
1.866404715,64.19449902,3.289999008,1.783,0.0007
4.4,35.02222222,3.439998627,0.238,0.0007
0.697674419,74.41860465,1.571428299,14.454,0.0273
3.863167207,4.80684164,4.109996796,0.393,0.0009
4.504504505,0,3,1.164,0.0007
0.728744939,76.11336032,4.559997559,3.149,0.0061
3.360308918,5.9195662,4.559997559,0.608,0.0015
0.481822164,44.4152431,3.888887405,2.715,0.0087
3.424340583,5.893736065,4.779998779,0.324,0
0.800744879,61.50837989,3.219999313,1.913,0.0348
1.589825119,36.72496025,3,0.009,0.0048
2.351171628,11.68461051,2.779998779,0.358,0.0007
1.291364003,23.00242131,1,0,0.0025
0.443594646,26.73422562,1.289999962,0.71,0.0099
0.716312057,92.69503546,2.779998779,3.596,0.0343
4.460547504,3.05958132,3.88999939,0.259,0.0009
4.585537919,1.093474427,4.779998779,0.437,0.0004
5.339265851,4.89432703,3,0.911,0.0035
3.945291952,8.188672628,3.669998169,0.602,0.0007
2.377717391,9.239130435,4.333332062,1.903,0.0007
3.088033317,18.53706083,4.779998779,0.488,0.0005
4.094403719,8.564276775,3,0.358,0.0001
0.469563733,37.72731153,2.779998779,2.068,0.0045
0.702702703,77.45945946,2.709999084,4.55,0.0794
1.385493073,81.03096985,2.13999939,2.646,0.0007
3.527411815,16.1920952,3.88999939,0.078,0.0007
4.474909467,8.967063287,3.219999313,0.12,0
0.86884946,53.34735687,3,1.33,0.048
2.914210871,10.31434185,3.666666031,1.391,0.0007
0.626360446,32.51410422,3.289999008,0.252,0.0007
0.74500508,22.14696918,1.569999695,0.009,0.0051
0.476539589,79.89369501,4.779998779,2.997,0.0076
0.791139241,35.75949367,3,0.823,0.0007
1.286573978,11.30940029,4.13999939,0.085,0.0007
0.860711662,69.66516217,4.109996796,1.912,0.0029
0.663841808,71.8079096,4.109996796,0.716,0.0053
0.564447343,61.89855,3.669998169,2.712,0.0007
3.380454825,7.559926245,1.43999958,0.407,0.0007
0.950486295,73.69584439,1.285714149,2.887,0.0036
5.600814664,4.735234216,2.329999924,0.67,0.0007
0.439117446,64.45308282,3,4.169,0.0007
4.885969444,2.89320245,4.559997559,0.605,0.0007
2.910866028,8.027481468,4.559997559,0.713,0.0007
1.044495509,89.72216419,2.709999084,5.718,0.0007
0.824946378,80.69625474,3.569999695,3.378,0.0048
0.784576565,75.19712979,3.669998169,1.818,0.0034
5.025830258,2.67896679,4.779998779,0.281,0.0037
0.796618436,74.89432613,4.329998016,1.836,0.0037
1.265603329,22.10471567,4.109996796,0.969,0.0007
3.35944634,10.57336473,4.559997559,0.291,0.0007
1.011804384,42.32715008,3.439998627,1.984,0.004
0.715169853,39.4168615,2.429998398,11.042,0.0042
5.202312139,13.29479769,3.439998627,0.25,0.0007
0.809599537,85.68743675,3.88999939,5.68,0.0071
0.534441805,85.09501188,2.779998779,4.418,0.0791
4.678128749,6.594029055,3.439998627,0.402,0.0007
2.249718785,56.91788526,3.219999313,2.231,0.0372
0.295904065,78.88179411,2.428569794,9.386,0.0024
4.629113218,47.3508087,3.289999008,0.397,0.0292
3.875968992,44.18604651,3,2.487,0.0007
1.153402537,64.5905421,2.709999084,4.539,0.0007
0.294117647,99.41176471,2.709999084,0.332,0.0197
6.295098283,0,3.439998627,0.293,0.0013
1.177699687,88.1090322,3.289999008,5.755,0.0058
1.182814403,88.93720647,1.859999657,3.661,0.0035
0.76097066,83.19100364,4.559997559,5.65,0.0029
0.888337087,69.04775654,3.289999008,4.496,0.0071
0,64.15770609,2.428569794,0.863,0.0036
0.990858531,84.96452087,3.289999008,1.834,0.0049
6.860158311,0,3,0.094,0.0007
1.054590571,6.451612903,3.289999008,0.128,0.0007
1.10701107,78.88478885,2.13999939,7.397,0.0007
8.541927409,0,3.88999939,0.898,0.0013
5.07878184,6.371053123,3.439998627,0.196,0.0001
0.869565217,29.89966555,3,0.511,0.0332
0.878378378,39.72972973,3.439998627,1.367,0.0007
3.877144118,9.717364504,3.439998627,0.87,0.0007
3.966303966,10.3974104,4.559997559,0.364,0.0007
1.155394002,92.21082695,2.709999084,4.371,0.0065
1.110229976,79.1038858,3.219999313,2.222,0.0024
3.912235968,9.212075424,3.88999939,0.88,0.0007
3.821354413,10.1453499,3.88999939,0.368,0.0007
0.841346154,88.22115385,2.13999939,5.219,0.0161
6.234866828,0,2.559999466,0.207,0.0013
3.532866501,21.49085159,4.559997559,1.023,0.0007
0.801250733,57.06468634,1.569999695,1.322,0.0241
1.586294416,39.04399323,2.429998398,0,0.0169
4.705003734,8.800099577,2.779998779,0.503,0.0007
3.962856266,9.616254014,3.88999939,0.869,0.0026
3.547612098,21.65839639,4.779998779,0.788,0
0.578853176,54.01362239,3.569999695,2.63,0.0043
1.432056023,93.22527343,1.857142448,6.82,0.0007
0.775467043,69.51004582,3.666666031,3.595,0.0052
0.924898261,27.78394377,5,1.049,0.0024
2.503681885,1.693667158,2.555555344,1.301,0.0063
0.598802395,14.97005988,1.289999962,0,0.0007
6.727410782,0,3.219999313,0.073,0.0007
5.389221557,35.12974052,2.709999084,0.283,0.0051
0.845884052,56.79801939,1.569999695,1.343,0.0231
1.836466987,89.48404023,3.88999939,4.902,0.0121
0.912336374,29.11543038,3.439998627,1.272,0.0007
1.010233535,48.47808974,1.859999657,0.001,0.0089
1.157840967,66.33747659,4.42999649,2.328,0.0193
0.758533502,12.76864728,1,0,0.0007
0.965250965,28.95752896,4.109996796,1.126,0.0019
1.032130677,49.02171962,1.859999657,0.001,0.0089
3.708659912,2.963104569,3.669998169,0.153,0.0007
0.392413342,75.21255723,4.329998016,3.424,0.0049
0.813786501,80.39731929,2.142856598,8.484,0.0007
6.14908966,6.904843696,4.329998016,0.211,0
9.550561798,0.421348315,4.559997559,0.604,0.0007
4.129664045,17.39163232,4.779998779,0.4,0.0005
0.873616773,96.85497962,1.571428299,6.387,0.0046
0.939809926,77.66631468,3.88999939,4.197,0.0025
6.094836147,8.126448196,2.559999466,0.684,0.0007
0.72140368,22.57137617,1.569999695,0.542,0.0148
1.623931624,33.9031339,5,1.09,0.0068
7.254901961,0,3.439998627,0.371,0.0013
1.052747012,53.0979274,1.571428299,3.896,0.004
4.970480294,5.32950375,3.88999939,0.405,0
1.196730881,69.20607122,1.859999657,3.203,0.0124
1.282420749,89.46685879,2.709999084,2.909,0.0049
2.947066158,10.83235728,3.669998169,0.074,0.0007
1.059322034,67.8874092,3,1.177,0.0253
1.33624216,63.34878647,1.669999123,0.366,0.0026
5.485986881,36.40429338,4.13999939,0.926,0.011
7.445896722,4.992500536,3.439998627,0.685,0.0013
1.298145506,30.87018545,4.329998016,1.119,0.0052
1.949161057,58.60544559,2.13999939,0.606,0.0612
1.169993118,26.84101858,3.666666031,1.644,0.0052
6.30056439,9.609648276,4.329998016,0.707,0.0013
6.166982922,0,1.669999123,0,0
0.361944157,72.95760083,4.111110687,6.054,0.0134
0.595972051,70.46855734,4.109996796,4.138,0.0569
0.825588037,71.60807934,4.329998016,3.301,0.0117
2.014652015,80.83028083,2.709999084,7.52,0.0124
2.378673958,63.32194122,3.289999008,1.726,0.0059
3.042028019,8.605737158,3.444442749,0.463,0.0442
2.612506321,8.725209281,3.222221375,0.591,0.0007
1.430696615,79.11072747,4.109996796,3.279,0.0031
1.140916217,57.04581083,4.559997559,1.962,0.0078
1.037175154,75.74874723,2.559999466,3.676,0.0018
1.571890892,69.97226075,2.429998398,1.422,0.0034
5.160662123,8.169425511,4.109996796,0.42,0.0058
1.492186437,70.66727707,3.439998627,2.979,0.0046
7.965616046,4.722063037,4.109996796,0.609,0.0013
2.895054282,35.36571993,3.88999939,1.635,0.0049
1.550988755,43.03993796,4.13999939,0.16,0.0085
1.294147648,66.57529007,4.109996796,2.708,0.0007
1.394978079,88.12275807,1.859999657,3.563,0.0111
1.163918526,49.06644035,1.285714149,3.759,0.0046
1.634877384,23.06993642,2.779998779,0.052,0.0007
1.228140435,85.82298759,3.571428299,7.997,0.0007
1.790611389,70.14034522,2.142856598,4.841,0.0007
1.440313112,62.51272016,4.42999649,1.652,0.0134
3.859485142,11.99711804,4.779998779,0.452,0
4.477026478,13.63486331,4.329998016,0.219,0.0004
4.48243133,13.6752789,4.109996796,0.194,0.0007
3.886139415,11.89843118,3.669998169,0.917,0.0007
10.63829787,87.5,2.779998779,1.194,0.0105
1.100468718,86.50906868,4.709999084,4.32,0.0007
1.156284968,21.09287579,2.709999084,0.165,0.0009
1.341599756,72.57851408,3.88999939,2.894,0.0163
1.245397936,42.51624926,3.859998703,1.246,0.0204
1.615352754,32.12757145,4.559997559,1.003,0.0029
1.253232081,43.17594167,2.709999084,0.783,0.0375
0.412007063,78.57563273,4.559997559,6.219,0.0309
4.09556314,15.35836177,2.559999466,0.57,0.0007
1.724137931,29.31034483,3.569999695,0,0
1.983349657,89.21400588,3.569999695,4.739,0.0035
5.438537836,37.52925443,4.779998779,1.477,0.0013
1.651014844,46.18297486,2.329999924,1.801,0.0044
1.41135483,73.63930463,3.219999313,3.598,0.0106
6.092285508,22.92718097,4.559997559,0.638,0
9.162011173,7.48603352,2.559999466,0.66,0.0013
8.035369153,15.2082528,4.779998779,0.359,0.0007
1.171280004,78.28142234,4.329998016,2.186,0.0149
4.123244554,12.49534437,4.559997559,0.749,0.0026
2.031714569,27.79980178,3.289999008,0.227,0.0001
1.652141665,76.40459855,3.439998627,3.555,0.0046
3.690415172,70.55356228,3.289999008,1.849,0.008
1.231774761,13.09703369,3,0.162,0.001
3.326032541,9.580725907,3.222221375,0.224,0.0042
1.54185022,48.85462555,2.779998779,0.906,0.0057
1.114058355,17.18832891,1.285714149,0,0.0007
1.04519774,70.62146893,4.109996796,3.694,0.004
4.589160014,13.77172621,4.109996796,0.202,0.0007
0.961538462,98.07692308,3.439998627,3.615,0.0025
1.443447778,16.44499433,1,0.082,0.0229
1.491395793,73.95793499,1.859999657,1.105,0.0708
2.114285714,34.74285714,4.329998016,1.052,0.0036
1.173541963,37.85561878,2.559999466,0.002,0.0078
1.582695859,63.83539963,3.439998627,2.856,0.0052
3.578469443,30.86205867,3.859998703,0.313,0.0005
1.738410596,75.04139073,4.329998016,4.821,0.0067
3.44067049,4.322893692,3.669998169,0.569,0.0007
0.863930886,72.93016559,4.559997559,4.667,0.0077
5.110113321,19.82039769,3.439998627,0.403,0.0069
6.343165239,15.66761814,2.779998779,0.41,0.0007
5.446175058,22.88421766,3.666666031,1.101,0.0053
7.379272925,9.386869235,3.666666031,0.672,0.0007
1.815642458,88.36126629,2.779998779,4.074,0.0113
2.122841778,54.96744976,1.569999695,0.626,0.0197
5.661368711,33.46906607,3,0.907,0.007
3.075147368,2.40323179,3.219999313,0.755,0.0048
2.25983771,71.38993107,4.13999939,2.344,0.037
7.685185185,35.74074074,3.439998627,0.088,0.0008
1.60390516,48.43096234,2.559999466,0.482,0.0003
1.782059831,78.78084113,3.439998627,3.749,0.0052
0.860832138,64.3779463,1.571428299,0.949,0.0393
2.442551824,88.47822594,4.42999649,5.143,0.0052
14.67079099,39.63764914,3.569999695,1.084,0.0094
1.811248808,79.44709247,1.859999657,0.164,0.0134
3.745340868,30.17915114,4.13999939,0.424,0.0065
0.856269113,15.84097859,4.109996796,0.622,0.0011
1.347017319,19.82039769,1,0,0.0025
7.098283931,28.54914197,3.439998627,0.203,0.0028
1.655172414,77.79310345,4.559997559,1.247,0.0027
1.667749621,85.72666233,2.329999924,10.567,0
0.674157303,87.34082397,2.709999084,4.051,0.0057
1.804591564,41.53764015,1.289999962,0.7,0.0101
1.952165482,74.27278604,4.42999649,4.642,0.0223
1.616462257,60.73792785,2.429998398,1.436,0.0024
2.26963232,21.24375851,1.569999695,0.006,0.0198
3.992805755,28.1294964,3.219999313,0.883,0.0049
1.902270474,73.98955629,3.88999939,3.459,0.0055
4.227782571,7.247627265,1.569999695,0.083,0.0034
5.196535643,56.62891406,1.289999962,1.41,0.0079
1.951367474,43.41034326,3,1.087,0.0137
1.959664156,65.31983035,2.559999466,1.883,0.0007
1.61883738,80.05886681,4.559997559,2.651,0.0048
1.695813461,70.32326444,4.559997559,2.9,0.0046
8.456375839,15.43624161,3.88999939,0.83,0.0025
2.248953975,42.31171548,3.219999313,1.075,0.0002
8.447488584,10.95890411,3.444442749,0.392,0.0007
2.346914463,87.84846319,2.709999084,3.684,0.0047
4.944902819,12.78586854,3.222221375,0.775,0.0007
4.031699786,13.30783703,4.109996796,0.532,0.0007
2.36453202,56.3546798,2.329999924,0.445,0
5.410654828,37.1254162,3.219999313,0.483,0
1.487414188,81.23569794,4.329998016,2.58,0.0069
3.449267031,59.4423685,3.669998169,3.455,0.0347
