DATE,PLOT ID,Ph,Mois,Ph,Mois,Ph,Mois,Ph,Mois,Ph,Mois,Ph,Mois
5/26/2017,2-4-C,NA,40,NA,41,NA,48,NA,47,NA,NA,NA,NA
6/4/2017,2-4-I,NA,58,NA,54,NA,57,NA,58,NA,NA,NA,NA
6/12/2017,2-4-I,6.2,55,6.1,53,6.8,48,6.7,51,NA,NA,NA,NA
5/26/2017,2-4-I,NA,57,NA,56,NA,58,NA,52,NA,NA,NA,NA
6/4/2017,2-4-R,NA,58,NA,63,NA,52,NA,53,NA,NA,NA,NA
6/12/2017,2-4-R,6.8,63,6.9,75,6.7,69,6.5,70,NA,NA,NA,NA
6/25/2017,2-4-R,6.7,63,6.4,72,6.2,72,6.7,89,NA,NA,NA,NA
5/26/2017,2-4-R,NA,67,NA,70,NA,68,NA,60,NA,NA,NA,NA
6/25/2017,2-5-C,6.2,48,6.1,43,6.3,23,6.5,23,NA,NA,NA,NA
7/17/2017,2-5-C,6.7,28,6.8,32,6.8,23,6.6,33,NA,NA,NA,NA
6/25/2017,2-5-I,6.1,44,6.7,39,6.5,34,6.1,53,NA,NA,NA,NA
7/17/2017,2-5-I,6.2,46,6.3,41,6.1,36,6.3,35,NA,NA,NA,NA
6/25/2017,2-5-R,6.5,35,6.2,48,5.9,51,6,48,NA,NA,NA,NA
7/17/2017,2-5-R,6.1,58,6,54,6.1,46,6.3,45,NA,NA,NA,NA
6/25/2017,2-6-C,6.3,40,6.5,45,6.8,35,6.7,30,NA,NA,NA,NA
7/17/2017,2-6-C,6.7,60,6.2,52,6.5,33,6.7,41,NA,NA,NA,NA
6/25/2017,2-6-I,6.8,30,6.7,52,6.4,53,5.6,63,NA,NA,NA,NA
7/17/2017,2-6-I,6.3,48,6.3,48,6.2,49,6,52,NA,NA,NA,NA
6/25/2017,2-6-R,5.7,68,6,57,5.9,58,6,53,NA,NA,NA,NA
7/17/2017,2-6-R,6,67,6.1,82,6.2,74,6.1,76,NA,NA,NA,NA
